"NICODE","INSTCODE","ACCENUMB","COLLNUMB","COLLCODE","GENUS","SPECIES","SPAUTHOR","SUBTAXA","SUBTAUTHOR","CROPNAME","ACCENAME","ACQDATE","ORIGCTY","COLLSITE","LATTITUDE","LONGITUDE","ELEVATION","COLLDATE","BREDCODE","SAMPSTAT","ANCEST","COLLSRC","DONORCODE","DONORNUMBER","OTHERNUMB","DUPLSITE","STORAGE ","REMARKS","COLLDESCR","BREDDESCR","DONORDESCR","DUPLDESCR","ACCEURL","MLSSTAT","AEGISSTAT","SMTAINST","SMTANUMB","SMTADATE","SMTACCE","SMTAGENUS","SMTARECIP","SMTAREMARK"
BIH,BIH039,GB00025,MR-6-8,BIH039,Calendula,officinalis,L.,,,Everlasting,Neven,20081204,,Trnovo (Isto?no Sarajevo),,,,200810--,,410,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00026,VT-2-9,BIH039,Capsicum,annuum,L.,,,Pepper,Paprika ljuta,20081205,,Village Romanovci (Gradi_ka),,,,20070817,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00027,VT-2-6,BIH039,Capsicum,annuum,L.,,,Pepper,Paprika zelena,20081205,,Aleksandrovac (Lakta_i),,,,20070817,,400,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00027,VT-2-12R,BIH039,Capsicum,annuum,L.,,,Pepper,_uta babura,20081205,,Village Donje Crnjalovo (Bijeljina),445100N,0191004E,108,20071005,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00029,VT-2-13R,BIH039,Capsicum,annuum,L.,,,Pepper,Doma?a roga,20081205,,Village Donje Crnjalovo (Bijeljina),445100N,0191004E,108,20071005,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00030,DK-4-1,BIH039,Nicotiana,tabacum,L.,,,Tobacco,Duvan bubalo,20081205,,Village Ban?i?i (Ljubinje),430314N,0174253E,523,20070619,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00031,DK-4-2,BIH039,Nicotiana,tabacum,L.,,,Tobacco,Visoki hercegovac,20081205,,Village Ban?i?i (Ljubinje),430314N,0174253E,523,20070619,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00032,DK-4-3,BIH039,Nicotiana,tabacum,L.,,,Tobacco,Mali ravnjak,20081205,,Village Krnjevi?i (Trebinje),430314N,0174253E,327,20070619,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00033,VT-2-20,BIH039,Brassica,rapa,L.,subsp. rapifera,,Turnip,Repa ugarnja?a,20081212,,Janja (Bijeljina),443937N,0191456E,107,20071004,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00034,VT-2-17,BIH039,Brassica,oleracea,L.,var. capitata,,Cabbage,Bijeljinski kupus,20081212,,Bijeljina,,,94,20071003,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00035,VT-2-21,BIH039,Brassica,oleracea,L.,var. capitata,,Cabbage,Bijeljinski kupus,20081212,,Janja (Bijeljina),443937N,,,20071004,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00036,VT-2-7R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Trebinjski ra_tan,20081212,,Village Vinogradi (Trebinje),,,,20070830,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00037,VT-2-1R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,?apljinski ra_tan,20081212,,Village Gomiljani (Trebinje),,,,20070828,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00038,VT-2-5R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Ra_tan,20081212,,Village Dubo?ica (Ljubinje),,,,20070829,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00039,VT-2-9R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Ra_tan,20081212,,Village Zgonjevo (Trebinje),,,,20070830,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00040,VT-2-3R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Doma?i ra_tan,20081212,,Village Gomiljani (Trebinje),,,,20070828,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00041,VT-2-4R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Crveni ra_tan,20081212,,Ljubinje,,,,20070829,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00042,VT-2-2R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Kovrd_avi ra_tan,20081212,,Village Gomiljani (Trebinje),,,,20070828,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00043,VT-2-6R,BIH039,Brassica,oleracea,L.,var. acephala,,Kale,Ra_tan,20081212,,Village Dubo?ica (Ljubinje),,,,20070829,,300,,23,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00044,DK-4-4,BIH039,Linum,brevimulticaulia,L.,,,Flax,Lan,20081215,,Grdo_nica Field (Ljubinje),430314N,0174253E,407,20070719,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00045,B?-3-CD 5,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20081230,,Village Veli?ani (Trebinje),444159N,0183003E,274,20070815,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00046,?G-3-CD 6,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20081230,,Ribnik (Manja?a),443301N,0165631E,761,20070820,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00047,VR -3-CD 4,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20081230,,Janj (_ipovo),441231N,0170824E,670,20070630,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
